SYMBOL	PATH
aldh3a2a	00561
aldh3a2a	00620
aldh3a2a	00640
aldh3a2a	00903
aldh3a2a	01100
cav1	04144
cav1	04510
f11r.1	04514
f11r.1	04530
srsf2b	03040
dnmt3bb.3	00270
dnmt3bb.3	01100
stx4	04130
prpf6	03040
nxf1b	03008
nxf1b	03013
nxf1b	03015
cul1a	04110
cul1a	04114
cul1a	04120
cul1a	04141
cul1a	04310
cul1a	04350
cul1a	04710
dnaja1	04141
klhl13	04120
gtf2a1	03022
pigc	00563
pigc	01100
dnajb12a	04141
ube2d1b	04120
ube2d1b	04141
dars1	00970
cnot6a	03018
c1galt1c1	00512
c1galt1c1	01100
adi1	00270
adi1	01100
polr2g	00230
polr2g	00240
polr2g	01100
polr2g	03020
det1	04120
cd82a	04115
snrpa	03040
stk3	04010
cd82b	04115
adam17a	04330
taf13	03022
cyp26b1	00830
dlat	00010
dlat	00020
dlat	00620
dlat	01100
cstf1	03015
stub1	04120
stub1	04141
tpm4b	04260
mtor	04012
mtor	04150
mtor	04910
mtor	04920
orc6	04110
hbs1l	03015
atp6v0a1a	00190
atp6v0a1a	01100
atp6v0a1a	04142
atp6v0a1a	04145
ercc3	03420
eif2s2	03013
gstm.1	00480
gstm.1	00980
gstm.1	00982
chsy1	00532
chsy1	01100
bhlhe40	04710
ap1g1	04142
smc3	04110
smc3	04114
zmat2	03040
taf2	03022
gcnt4a	00512
gcnt4a	01100
cpsf3	03015
taldo1	00030
taldo1	01100
cyb5r3	00520
gosr2	04130
cul3a	04120
snupn	03013
gemin4	03013
pex19	04146
ctsh	04142
gtf2b	03022
nt5c2a	00230
nt5c2a	00240
nt5c2a	00760
nt5c2a	01100
plaa	04141
txndc12	00480
aars1	00970
sephs1	00450
sephs1	01100
lamp1a	04142
lamp1a	04145
pak2b	04010
pak2b	04012
pak2b	04510
pak2b	04810
thoc5	03013
src	04012
src	04144
src	04370
src	04510
src	04520
src	04530
src	04540
src	04912
ssh2a	04810
eif3ea	03013
utp15	03008
inppl1a	00562
inppl1a	01100
inppl1a	04070
gpd1b	00564
gspt1l	03015
pigp	00563
pigp	01100
calr	04141
calr	04145
chp1	04010
chp1	04020
chp1	04114
chp1	04210
chp1	04310
chp1	04370
chp1	04650
atp6v0cb	00190
atp6v0cb	01100
atp6v0cb	04142
atp6v0cb	04145
ube2al	04120
vamp5	04130
map3k4	04010
map3k4	04912
pars2	00970
rpn1	00510
rpn1	01100
rpn1	04141
polr1b	00230
polr1b	00240
polr1b	01100
polr1b	03020
rpl27	03010
col1a1b	04510
col1a1b	04512
parvb	04510
ndufab1b	00190
ndufab1b	01100
gtf2f1	03022
dgat1a	00561
dgat1a	00830
dgat1a	01100
f2	04080
f2	04810
retsat.2	00830
hhip	04340
smad7	04144
smad7	04350
ets2	04320
psma4	03050
ssr4	04141
mbtps1	04141
myl12.1	04270
myl12.1	04510
myl12.1	04530
myl12.1	04810
exosc6	03018
gna13a	04270
gna13a	04810
gclc	00480
gclc	01100
psmc4	03050
suv39h1b	00310
prpf4	03040
tecrb	01040
rpl5a	03010
cox5ab	00190
cox5ab	01100
cox5ab	04260
cox4i1	00190
cox4i1	01100
cox4i1	04260
atp5l	00190
atp5l	01100
vamp8	04130
snrpd3l	03040
rnps1	03013
rnps1	03015
uck2b	00240
uck2b	00983
uck2b	01100
wee1	04110
slc25a4	04020
arpc2	04810
cpsf6	03015
degs1	00600
degs1	01100
polr1a	00230
polr1a	00240
polr1a	01100
polr1a	03020
rpl12	03010
hyou1	04141
pgam1b	00010
pgam1b	01100
vcp	04141
rac1a	04010
rac1a	04145
rac1a	04310
rac1a	04370
rac1a	04510
rac1a	04520
rac1a	04620
rac1a	04650
rac1a	04810
ap1s2	04142
dnajb1b	04141
dusp7	04010
ppp2r2ab	03015
ppp2r2ab	04530
sec23b	04141
sec22bb	04130
sec22bb	04145
ppp1r3b	04910
ppp1cab	04114
ppp1cab	04270
ppp1cab	04510
ppp1cab	04810
ppp1cab	04910
mapkapk2a	04010
mapkapk2a	04370
ercc4	03420
psmd7	03050
srp72	03060
rbm25b	03040
eif2s3	03013
mtmr6	00051
tuba4l	04145
tuba4l	04540
calm3a	04020
calm3a	04070
calm3a	04114
calm3a	04270
calm3a	04744
calm3a	04910
calm3a	04912
calm3a	04916
hsd17b12a	00140
hsd17b12a	01100
nploc4	04141
pfkfb1	00051
hsd3b7	00120
hsd3b7	01100
wee2	04110
rpa1	03030
rpa1	03420
rpa1	03430
rpa1	03440
acin1b	03013
acin1b	03015
acin1b	03040
tgds	01100
rhoq	04910
psat1	00260
psat1	00750
psat1	01100
eif3s10	03013
lpcat4	00564
lpcat4	00565
lpcat4	01100
tk1	00240
tk1	00983
tk1	01100
chp2	04010
chp2	04020
chp2	04114
chp2	04210
chp2	04310
chp2	04370
chp2	04650
alg8	00510
alg8	01100
pabpc1l	03013
pabpc1l	03015
pabpc1l	03018
cnot3b	03018
gnsb	00531
gnsb	01100
gnsb	04142
gnai2b	04530
gnai2b	04540
gnai2b	04914
gnai2b	04916
gclm	00480
gclm	01100
ptpn11a	04630
ptpn11a	04650
ptpn11a	04920
ampd3b	00230
ampd3b	01100
porcnl	04310
il11ra	04060
il11ra	04630
exoc3	04530
gtpbp4	03008
taf5l	03022
tdo2b	00380
tdo2b	01100
hsd11b2	00140
hsd11b2	01100
eno1a	00010
eno1a	01100
eno1a	03018
hacd2	01040
ube2g1a	04120
ube2g1a	04141
alg1	00510
alg1	01100
mknk2a	04010
mknk2a	04910
hgs	04144
hgs	04145
mat1a	00270
mat1a	01100
aldh7a1	00010
aldh7a1	00053
aldh7a1	00071
aldh7a1	00260
aldh7a1	00280
aldh7a1	00300
aldh7a1	00310
aldh7a1	00330
aldh7a1	00340
aldh7a1	00380
aldh7a1	00410
aldh7a1	00561
aldh7a1	00620
aldh7a1	00640
aldh7a1	01100
ldhd	00620
eif3c	03013
agk	00561
agk	01100
myhc4	04530
ddx23	03040
orc3	04110
ubqln4	04141
nol6	03008
fbxw11a	04114
fbxw11a	04120
fbxw11a	04310
fbxw11a	04340
fbxw11a	04710
nfat5a	04310
nfat5a	04370
